date,forecast
2018-06-27,1418.4983907469011
2018-06-28,1418.4983907469011
2018-06-29,1418.4983907469011
2018-06-30,1418.4983907469011
2018-07-01,1418.4983907469011
2018-07-02,1418.4983907469011
2018-07-03,1418.4983907469011
2018-07-04,1418.4983907469011
2018-07-05,1418.4983907469011
2018-07-06,1418.4983907469011
2018-07-07,1418.4983907469011
2018-07-08,1418.4983907469011
2018-07-09,1418.4983907469011
2018-07-10,1418.4983907469011
2018-07-11,1418.4983907469011
2018-07-12,1418.4983907469011
2018-07-13,1418.4983907469011
2018-07-14,1418.4983907469011
2018-07-15,1418.4983907469011
2018-07-16,1418.4983907469011
2018-07-17,1418.4983907469011
2018-07-18,1418.4983907469011
2018-07-19,1418.4983907469011
2018-07-20,1418.4983907469011
2018-07-21,1418.4983907469011
2018-07-22,1418.4983907469011
2018-07-23,1418.4983907469011
2018-07-24,1418.4983907469011
2018-07-25,1418.4983907469011
2018-07-26,1418.4983907469011
2018-07-27,1418.4983907469011
2018-07-28,1418.4983907469011
2018-07-29,1418.4983907469011
2018-07-30,1418.4983907469011
2018-07-31,1418.4983907469011
2018-08-01,1418.4983907469011
2018-08-02,1418.4983907469011
2018-08-03,1418.4983907469011
2018-08-04,1418.4983907469011
2018-08-05,1418.4983907469011
2018-08-06,1418.4983907469011
2018-08-07,1418.4983907469011
2018-08-08,1418.4983907469011
2018-08-09,1418.4983907469011
2018-08-10,1418.4983907469011
2018-08-11,1418.4983907469011
2018-08-12,1418.4983907469011
2018-08-13,1418.4983907469011
2018-08-14,1418.4983907469011
2018-08-15,1418.4983907469011
2018-08-16,1418.4983907469011
2018-08-17,1418.4983907469011
2018-08-18,1418.4983907469011
2018-08-19,1418.4983907469011
2018-08-20,1418.4983907469011
2018-08-21,1418.4983907469011
2018-08-22,1418.4983907469011
2018-08-23,1418.4983907469011
2018-08-24,1418.4983907469011
2018-08-25,1418.4983907469011
2018-08-26,1418.4983907469011
2018-08-27,1418.4983907469011
2018-08-28,1418.4983907469011
2018-08-29,1418.4983907469011
2018-08-30,1418.4983907469011
2018-08-31,1418.4983907469011
2018-09-01,1418.4983907469011
2018-09-02,1418.4983907469011
2018-09-03,1418.4983907469011
2018-09-04,1418.4983907469011
2018-09-05,1418.4983907469011
2018-09-06,1418.4983907469011
2018-09-07,1418.4983907469011
2018-09-08,1418.4983907469011
2018-09-09,1418.4983907469011
2018-09-10,1418.4983907469011
2018-09-11,1418.4983907469011
2018-09-12,1418.4983907469011
2018-09-13,1418.4983907469011
2018-09-14,1418.4983907469011
2018-09-15,1418.4983907469011
2018-09-16,1418.4983907469011
2018-09-17,1418.4983907469011
2018-09-18,1418.4983907469011
2018-09-19,1418.4983907469011
2018-09-20,1418.4983907469011
2018-09-21,1418.4983907469011
2018-09-22,1418.4983907469011
2018-09-23,1418.4983907469011
2018-09-24,1418.4983907469011
2018-09-25,1418.4983907469011
2018-09-26,1418.4983907469011
2018-09-27,1418.4983907469011
2018-09-28,1418.4983907469011
2018-09-29,1418.4983907469011
2018-09-30,1418.4983907469011
2018-10-01,1418.4983907469011
2018-10-02,1418.4983907469011
2018-10-03,1418.4983907469011
2018-10-04,1418.4983907469011
2018-10-05,1418.4983907469011
2018-10-06,1418.4983907469011
2018-10-07,1418.4983907469011
2018-10-08,1418.4983907469011
2018-10-09,1418.4983907469011
2018-10-10,1418.4983907469011
2018-10-11,1418.4983907469011
2018-10-12,1418.4983907469011
2018-10-13,1418.4983907469011
2018-10-14,1418.4983907469011
